r          d               f
15.2894    0.00317303   -3.82978332 
15.3045    0.00119066   -3.83193064 
15.3045    0.00119066   -3.83193064 
15.3154    0.00246090   -3.83231135 
15.3154    0.00246090   -3.83231135 
15.4176    0.00346967   -3.84056332 
15.4176    0.00346967   -3.84056332 
15.4203    0.00068950   -3.84200062 
15.4203    0.00068950   -3.84200062 
15.4517    0.00103902   -3.84451347 
15.4517    0.00103902   -3.84451347 
15.4691    0.00209097   -3.84552881 
15.4691    0.00209097   -3.84552881 
15.4741    0.00151224   -3.84620442 
15.4741    0.00151224   -3.84620442 
15.6001    0.00409989   -3.85570326 
15.6001    0.00409989   -3.85570326 
15.6067    0.00482770   -3.85594468 
15.6067    0.00482770   -3.85594468 
15.6241    0.00261219   -3.85836871 
15.6241    0.00261219   -3.85836871 
15.6373    0.00370197   -3.85900996 
15.6373    0.00370197   -3.85900996 
15.6402    0.00438022   -3.85895261 
15.6402    0.00438022   -3.85895261 
15.7023    0.00055498   -3.86582820 
15.7023    0.00055498   -3.86582820 
15.7030    0.00371560   -3.86450867 
15.7030    0.00371560   -3.86450867 
15.7135    0.00174122   -3.86624272 
15.7135    0.00174122   -3.86624272 
15.7171    0.00484078   -3.86519980 
15.7171    0.00484078   -3.86519980 
15.7904    0.00183306   -3.87262398 
15.7904    0.00183306   -3.87262398 
15.8169    0.00449845   -3.87367152 
15.8169    0.00449845   -3.87367152 
15.8223    0.00453096   -3.87410849 
15.8223    0.00453096   -3.87410849 
15.9053    0.00058565   -3.88271772 
15.9053    0.00058565   -3.88271772 
15.9449    0.00385957   -3.88457429 
15.9449    0.00385957   -3.88457429 
15.9463    0.00326646   -3.88494658 
15.9463    0.00326646   -3.88494658 
16.0182    0.00082588   -3.89194532 
16.0182    0.00082588   -3.89194532 
16.0444    0.00142722   -3.89384389 
16.0444    0.00142722   -3.89384389 
16.1248    0.00049987   -3.90085854 
16.1248    0.00049987   -3.90085854 
16.1416    0.00454614   -3.90047543 
16.1416    0.00454614   -3.90047543 
16.2447    0.00211803   -3.90996415 
16.2447    0.00211803   -3.90996415 
16.3236    0.00279630   -3.91609367 
16.3236    0.00279630   -3.91609367 
16.3353    0.00394103   -3.91654774 
16.3353    0.00394103   -3.91654774 
16.3566    0.00453901   -3.91801234 
16.3566    0.00453901   -3.91801234 
16.4287    0.00436287   -3.92393831 
16.4287    0.00436287   -3.92393831 
16.4566    0.00115830   -3.92758682 
16.4566    0.00115830   -3.92758682 
16.5902    0.00443833   -3.93691978 
16.5902    0.00443833   -3.93691978 
