r           d          f
17.2317    0.0010     -3.82262915
17.2317    0.0010     -3.82262915
17.2759    0.0025     -3.82500130
17.2759    0.0025     -3.82500130
17.3446    0.0019     -3.82998550
17.3446    0.0019     -3.82998550
17.3516    0.0012     -3.83074775
17.3516    0.0012     -3.83074775
17.3596    0.0025     -3.83075093
17.3596    0.0025     -3.83075093
17.3925    0.0009     -3.83369027
17.3925    0.0009     -3.83369027
17.5065    0.0027     -3.84064904
17.5065    0.0027     -3.84064904
17.5120    0.0004     -3.84200436
17.5120    0.0004     -3.84200436
17.5411    0.0017     -3.84343517
17.5411    0.0017     -3.84343517
17.5586    0.0019     -3.84454151
17.5586    0.0019     -3.84454151
17.5619    0.0025     -3.84449299
17.5619    0.0025     -3.84449299
17.5993    0.0021     -3.84721425
17.5993    0.0021     -3.84721425
17.6143    0.0006     -3.84887500
17.6143    0.0006     -3.84887500
17.6288    0.0005     -3.84989315
17.6288    0.0005     -3.84989315
17.6593    0.0017     -3.85144201
17.6593    0.0017     -3.85144201
17.6974    0.0011     -3.85424589
17.6974    0.0011     -3.85424589
17.7247    0.0007     -3.85627338
17.7247    0.0007     -3.85627338
17.7530    0.0026     -3.85733605
17.7530    0.0026     -3.85733605
17.7680    0.0004     -3.85928917
17.7680    0.0004     -3.85928917
17.7804    0.0022     -3.85935239
17.7804    0.0022     -3.85935239
17.7836    0.0025     -3.85943915
17.7836    0.0025     -3.85943915
17.8007    0.0015     -3.86100981
17.8007    0.0015     -3.86100981
17.8271    0.0025     -3.86234676
17.8271    0.0025     -3.86234676
17.8351    0.0010     -3.86352198
17.8351    0.0010     -3.86352198
17.8990    0.0014     -3.86762663
17.8990    0.0014     -3.86762663
17.9201    0.0006     -3.86939883
17.9201    0.0006     -3.86939883
17.9577    0.0008     -3.87182158
17.9577    0.0008     -3.87182158
18.0072    0.0026     -3.87433400
18.0072    0.0026     -3.87433400
18.0286    0.0007     -3.87655751
18.0286    0.0007     -3.87655751
18.0289    0.0004     -3.87672387
18.0289    0.0004     -3.87672387
18.0476    0.0005     -3.87793740
18.0476    0.0005     -3.87793740
18.0976    0.0023     -3.88046607
18.0976    0.0023     -3.88046607
18.1207    0.0014     -3.88239233
18.1207    0.0014     -3.88239233
18.1523    0.0025     -3.88399221
18.1523    0.0025     -3.88399221
18.2723    0.0012     -3.89245099
18.2723    0.0012     -3.89245099
18.3087    0.0009     -3.89498050
18.3087    0.0009     -3.89498050
18.3691    0.0009     -3.89893887
18.3691    0.0009     -3.89893887
18.4064    0.0004     -3.90159973
18.4064    0.0004     -3.90159973
18.4129    0.0024     -3.90113680
18.4129    0.0024     -3.90113680
18.4980    0.0012     -3.90722476
18.4980    0.0012     -3.90722476
18.5346    0.0024     -3.90906902
18.5346    0.0024     -3.90906902
18.5441    0.0023     -3.90975117
18.5441    0.0023     -3.90975117
18.5473    0.0018     -3.91015924
18.5473    0.0018     -3.91015924
18.5477    0.0017     -3.91025252
18.5477    0.0017     -3.91025252
18.5570    0.0025     -3.91052194
18.5570    0.0025     -3.91052194
18.5706    0.0020     -3.91161939
18.5706    0.0020     -3.91161939
18.5970    0.0021     -3.91329473
18.5970    0.0021     -3.91329473
18.6065    0.0018     -3.91400206
18.6065    0.0018     -3.91400206
18.6509    0.0005     -3.91747935
18.6509    0.0005     -3.91747935
18.6607    0.0005     -3.91808190
18.6607    0.0005     -3.91808190
18.6807    0.0020     -3.91874858
18.6807    0.0020     -3.91874858
18.6816    0.0015     -3.91902207
18.6816    0.0015     -3.91902207
18.6856    0.0021     -3.91899953
18.6856    0.0021     -3.91899953
18.6863    0.0005     -3.91974909
18.6863    0.0005     -3.91974909
18.7045    0.0017     -3.92040021
18.7045    0.0017     -3.92040021
18.7051    0.0006     -3.92091041
18.7051    0.0006     -3.92091041
18.7591    0.0004     -3.92449279
18.7591    0.0004     -3.92449279
18.7710    0.0010     -3.92500163
18.7710    0.0010     -3.92500163
18.7884    0.0006     -3.92628172
18.7884    0.0006     -3.92628172
18.8354    0.0022     -3.92863559
18.8354    0.0022     -3.92863559
18.8636    0.0016     -3.93070260
18.8636    0.0016     -3.93070260
18.8935    0.0004     -3.93312893
18.8935    0.0004     -3.93312893
18.9291    0.0011     -3.93512657
18.9291    0.0011     -3.93512657
18.9449    0.0021     -3.93570549
18.9449    0.0021     -3.93570549
18.9465    0.0013     -3.93614126
18.9465    0.0013     -3.93614126
18.9493    0.0008     -3.93654433
18.9493    0.0008     -3.93654433
18.9703    0.0024     -3.93719480
18.9703    0.0024     -3.93719480
18.9833    0.0004     -3.93889403
18.9833    0.0004     -3.93889403
19.0315    0.0007     -3.94181539
19.0315    0.0007     -3.94181539
19.0451    0.0022     -3.94204120
19.0451    0.0022     -3.94204120
19.0823    0.0015     -3.94473627
19.0823    0.0015     -3.94473627
19.1107    0.0023     -3.94619037
19.1107    0.0023     -3.94619037
19.1517    0.0023     -3.94876717
19.1517    0.0023     -3.94876717
19.3126    0.0022     -3.95900042
19.3126    0.0022     -3.95900042
19.3195    0.0004     -3.96023371
19.3195    0.0004     -3.96023371
19.3346    0.0021     -3.96043341
19.3346    0.0021     -3.96043341
19.3367    0.0011     -3.96100519
19.3367    0.0011     -3.96100519
19.3584    0.0013     -3.96227640
19.3584    0.0013     -3.96227640
19.3857    0.0008     -3.96420382
19.3857    0.0008     -3.96420382
19.4104    0.0009     -3.96571109
19.4104    0.0009     -3.96571109
19.4179    0.0006     -3.96634456
19.4179    0.0006     -3.96634456
19.4560    0.0023     -3.96798197
19.4560    0.0023     -3.96798197
19.4820    0.0005     -3.97041267
19.4820    0.0005     -3.97041267
19.5088    0.0017     -3.97156443
19.5088    0.0017     -3.97156443
19.5460    0.0015     -3.97395790
19.5460    0.0015     -3.97395790
19.5717    0.0007     -3.97592083
19.5717    0.0007     -3.97592083
19.5989    0.0018     -3.97713932
19.5989    0.0018     -3.97713932
19.6357    0.0022     -3.97925468
19.6357    0.0022     -3.97925468
19.6789    0.0005     -3.98270630
19.6789    0.0005     -3.98270630
19.6897    0.0012     -3.98305812
19.6897    0.0012     -3.98305812
19.7098    0.0013     -3.98423637
19.7098    0.0013     -3.98423637
19.7105    0.0005     -3.98464064
19.7105    0.0005     -3.98464064
19.7593    0.0004     -3.98771851
19.7593    0.0004     -3.98771851
19.7619    0.0004     -3.98788862
19.7619    0.0004     -3.98788862
19.7871    0.0022     -3.98866299
19.7871    0.0022     -3.98866299
19.8146    0.0019     -3.99049689
19.8146    0.0019     -3.99049689
19.8424    0.0021     -3.99212490
19.8424    0.0021     -3.99212490
19.8451    0.0009     -3.99280200
19.8451    0.0009     -3.99280200
19.8535    0.0006     -3.99346546
19.8535    0.0006     -3.99346546
19.9383    0.0008     -3.99859951
19.9383    0.0008     -3.99859951
19.9502    0.0004     -3.99952976
19.9502    0.0004     -3.99952976
19.9879    0.0022     -4.00105115
19.9879    0.0022     -4.00105115
19.9970    0.0012     -4.00205751
19.9970    0.0012     -4.00205751
20.0015    0.0018     -4.00206849
20.0015    0.0018     -4.00206849
20.0115    0.0022     -4.00251564
20.0115    0.0022     -4.00251564
20.0130    0.0017     -4.00280993
20.0130    0.0017     -4.00280993
