r           d           f
36.25      0.0044     -4.30649798
33.12      0.0049     -4.17933988
34.13      0.0047     -4.22107084
31.26      0.0050     -4.09898732
32.17      0.0050     -4.13855911
29.60      0.0050     -4.02465829
30.40      0.0051     -4.06091402
28.19      0.0048     -3.95900330
28.86      0.0050     -3.99056576
46.48      0.0030     -4.67291106
49.48      0.0028     -4.76864387
40.53      0.0037     -4.46842956
43.50      0.0033     -4.57296426
34.68      0.0045     -4.24397159
37.59      0.0041     -4.35890480
28.99      0.0056     -3.99632324
31.81      0.0050     -4.12322343
23.57      0.0068     -3.72386927
26.24      0.0062     -3.86311912
18.66      0.0073     -3.43325683
21.03      0.0073     -3.57967229
14.78      0.0039     -3.16122736
16.54      0.0063     -3.29030704
12.89      0.0038     -3.01150317
13.52      0.0001     -3.06208434
13.84      0.0027     -3.08962241
13.01      0.0048     -3.02160399
17.16      0.0026     -3.33465913
15.27      0.0003     -3.20008616
21.79      0.0044     -3.62507327
19.36      0.0039     -3.47920248
27.07      0.0043     -3.90498965
27.59      0.0046     -3.93035071
24.37      0.0045     -3.76770769
29.32      0.0038     -4.01235486
24.02      0.0040     -3.74946275
30.43      0.0042     -4.06278883
29.84      0.0041     -4.03613036
26.62      0.0040     -3.88328976
19.29      0.0028     -3.47521434
21.56      0.0036     -3.61238594
31.81      0.0044     -4.12353136
31.09      0.0044     -4.09202443
15.64      0.0011     -3.22795862
17.28      0.0012     -3.34381867
33.43      0.0045     -4.19218263
32.59      0.0045     -4.15701196
13.95      0.0042     -3.09905261
14.49      0.0034     -3.14142718
35.24      0.0044     -4.26655494
34.31      0.0044     -4.22877830
14.90      0.0009     -3.17179390
14.09      0.0024     -3.10995313
37.23      0.0042     -4.34478770
36.21      0.0043     -4.30529101
18.09      0.0057     -3.39625304
16.28      0.0039     -3.27228811
39.36      0.0039     -4.42537728
38.28      0.0040     -4.38486834
22.58      0.0064     -3.66917661
20.22      0.0064     -3.53125885
41.61      0.0036     -4.50715413
40.47      0.0038     -4.46617852
27.75      0.0056     -3.93750192
25.10      0.0061     -3.80537896
43.97      0.0034     -4.58923598
42.78      0.0035     -4.54820233
33.28      0.0046     -4.18601967
30.48      0.0051     -4.06449370
46.42      0.0031     -4.67097390
45.19      0.0032     -4.63018077
39.02      0.0038     -4.41302051
36.13      0.0042     -4.30212015
48.95      0.0029     -4.75190239
47.68      0.0030     -4.71156250
44.90      0.0031     -4.62047746
41.95      0.0034     -4.51902810
47.87      0.0029     -4.71770148
48.95      0.0029     -4.75190239
46.42      0.0031     -4.67097390
47.68      0.0030     -4.71156250
43.97      0.0034     -4.58923598
45.19      0.0032     -4.63018077
41.61      0.0036     -4.50715413
42.78      0.0035     -4.54820233
39.36      0.0039     -4.42537728
40.47      0.0038     -4.46617852
37.23      0.0042     -4.34478770
38.28      0.0040     -4.38486834
35.24      0.0044     -4.26655494
36.21      0.0043     -4.30529101
33.43      0.0045     -4.19218263
34.31      0.0044     -4.22877830
31.81      0.0044     -4.12353136
32.59      0.0045     -4.15701196
30.43      0.0042     -4.06278883
31.09      0.0044     -4.09202443
44.90      0.0031     -4.62047746
47.87      0.0029     -4.71770148
39.02      0.0038     -4.41302051
41.95      0.0034     -4.51902810
33.28      0.0046     -4.18601967
36.13      0.0042     -4.30212015
27.75      0.0056     -3.93750192
30.48      0.0051     -4.06449370
22.58      0.0064     -3.66917661
25.10      0.0061     -3.80537896
18.09      0.0057     -3.39625304
20.22      0.0064     -3.53125885
14.90      0.0009     -3.17179390
16.28      0.0039     -3.27228811
13.95      0.0042     -3.09905261
14.09      0.0024     -3.10995313
15.64      0.0011     -3.22795862
14.49      0.0034     -3.14142718
19.29      0.0028     -3.47521434
17.28      0.0012     -3.34381867
24.02      0.0040     -3.74946275
21.56      0.0036     -3.61238594
29.32      0.0038     -4.01235486
29.84      0.0041     -4.03613036
26.62      0.0040     -3.88328976
31.58      0.0034     -4.11366749
26.26      0.0036     -3.86559264
32.68      0.0038     -4.16101911
32.10      0.0036     -4.13606892
28.87      0.0036     -3.99175866
21.45      0.0028     -3.60608479
23.77      0.0034     -3.73628329
34.03      0.0040     -4.21756859
33.33      0.0039     -4.18826897
17.54      0.0000     -3.36219407
19.34      0.0017     -3.47910826
35.61      0.0040     -4.28134715
34.79      0.0040     -4.24867305
15.27      0.0035     -3.20121933
16.15      0.0020     -3.26544337
37.37      0.0039     -4.35053043
36.47      0.0040     -4.31536859
15.36      0.0013     -3.20717987
14.99      0.0034     -3.18041826
39.31      0.0038     -4.42353120
38.32      0.0039     -4.38664237
17.78      0.0039     -3.37669044
16.32      0.0015     -3.27640140
41.38      0.0036     -4.49903182
40.33      0.0037     -4.46104085
21.77      0.0058     -3.62371650
19.63      0.0052     -3.49572109
43.59      0.0034     -4.57597729
42.47      0.0035     -4.53738035
26.64      0.0055     -3.88334604
24.13      0.0058     -3.75419928
45.89      0.0031     -4.65354637
44.73      0.0033     -4.61472707
31.98      0.0047     -4.13046306
29.26      0.0051     -4.00909768
48.29      0.0029     -4.73111461
47.08      0.0030     -4.69236296
37.59      0.0039     -4.35886051
34.76      0.0043     -4.24706383
49.52      0.0028     -4.76974789
43.37      0.0032     -4.56868918
40.46      0.0036     -4.46599293
49.26      0.0027     -4.76184390
46.31      0.0030     -4.66721476
48.29      0.0029     -4.73111461
49.52      0.0028     -4.76974789
45.89      0.0031     -4.65354637
47.08      0.0030     -4.69236296
43.59      0.0034     -4.57597729
44.73      0.0033     -4.61472707
41.38      0.0036     -4.49903182
42.47      0.0035     -4.53738035
39.31      0.0038     -4.42353120
40.33      0.0037     -4.46104085
37.37      0.0039     -4.35053043
38.32      0.0039     -4.38664237
35.61      0.0040     -4.28134715
36.47      0.0040     -4.31536859
34.03      0.0040     -4.21756859
34.79      0.0040     -4.24867305
32.68      0.0038     -4.16101911
33.33      0.0039     -4.18826897
49.26      0.0027     -4.76184390
43.37      0.0032     -4.56868918
46.31      0.0030     -4.66721476
37.59      0.0039     -4.35886051
40.46      0.0036     -4.46599293
31.98      0.0047     -4.13046306
34.76      0.0043     -4.24706383
26.64      0.0055     -3.88334604
29.26      0.0051     -4.00909768
21.77      0.0058     -3.62371650
24.13      0.0058     -3.75419928
17.78      0.0039     -3.37669044
19.63      0.0052     -3.49572109
15.36      0.0013     -3.20717987
16.32      0.0015     -3.27640140
15.27      0.0035     -3.20121933
14.99      0.0034     -3.18041826
17.54      0.0000     -3.36219407
16.15      0.0020     -3.26544337
21.45      0.0028     -3.60608479
19.34      0.0017     -3.47910826
26.26      0.0036     -3.86559264
23.77      0.0034     -3.73628329
31.58      0.0034     -4.11366749
32.10      0.0036     -4.13606892
28.87      0.0036     -3.99175866
33.83      0.0031     -4.20966955
28.51      0.0032     -3.97461758
34.93      0.0034     -4.25433705
34.35      0.0033     -4.23086749
31.13      0.0032     -4.09405629
23.62      0.0027     -3.72844567
25.99      0.0031     -3.85219504
36.26      0.0035     -4.30726676
35.56      0.0035     -4.27987247
19.52      0.0007     -3.49073830
21.45      0.0020     -3.60632950
37.80      0.0036     -4.36682328
