r           d           f
23.0274    0.0037     -3.84163510
23.0274    0.0037     -3.84163510
23.0611    0.0076     -3.84179667
23.0611    0.0076     -3.84179667
23.1120    0.0091     -3.84395788
23.1120    0.0091     -3.84395788
23.2041    0.0013     -3.85355816
23.2041    0.0013     -3.85355816
23.2413    0.0086     -3.85126804
23.2413    0.0086     -3.85126804
23.2815    0.0053     -3.85493488
23.2815    0.0053     -3.85493488
23.2822    0.0015     -3.85791008
23.2822    0.0015     -3.85791008
23.3656    0.0002     -3.86176643
23.3656    0.0002     -3.86176643
23.4094    0.0017     -3.86494738
23.4094    0.0017     -3.86494738
23.4164    0.0089     -3.86073725
23.4164    0.0089     -3.86073725
23.5791    0.0009     -3.87385911
23.5791    0.0009     -3.87385911
23.6387    0.0046     -3.87471104
23.6387    0.0046     -3.87471104
23.6893    0.0057     -3.87694914
23.6893    0.0057     -3.87694914
23.7925    0.0003     -3.88514194
23.7925    0.0003     -3.88514194
23.7970    0.0076     -3.88194434
23.7970    0.0076     -3.88194434
23.8317    0.0071     -3.88402290
23.8317    0.0071     -3.88402290
23.8670    0.0078     -3.88564223
23.8670    0.0078     -3.88564223
23.9271    0.0016     -3.89156239
23.9271    0.0016     -3.89156239
23.9541    0.0014     -3.89432359
23.9541    0.0014     -3.89432359
23.9899    0.0007     -3.89532191
23.9899    0.0007     -3.89532191
24.0330    0.0062     -3.89521960
24.0330    0.0062     -3.89521960
24.0982    0.0026     -3.90031554
24.0982    0.0026     -3.90031554
24.1379    0.0081     -3.90000876
24.1379    0.0081     -3.90000876
24.1806    0.0061     -3.90318242
24.1806    0.0061     -3.90318242
24.1992    0.0083     -3.90321436
24.1992    0.0083     -3.90321436
24.2118    0.0085     -3.90378492
24.2118    0.0085     -3.90378492
24.2847    0.0001     -3.91138578
24.2847    0.0001     -3.91138578
24.3020    0.0006     -3.91254885
24.3020    0.0006     -3.91254885
24.3769    0.0015     -3.91690634
24.3769    0.0015     -3.91690634
24.3883    0.0012     -3.91738977
24.3883    0.0012     -3.91738977
24.4651    0.0052     -3.91864232
24.4651    0.0052     -3.91864232
24.4982    0.0034     -3.92116731
24.4982    0.0034     -3.92116731
24.5997    0.0075     -3.92473469
24.5997    0.0075     -3.92473469
24.6367    0.0081     -3.92640494
24.6367    0.0081     -3.92640494
24.7505    0.0063     -3.93318230
24.7505    0.0063     -3.93318230
24.7695    0.0014     -3.93754204
24.7695    0.0014     -3.93754204
24.8033    0.0006     -3.93896217
24.8033    0.0006     -3.93896217
24.8242    0.0026     -3.93864224
24.8242    0.0026     -3.93864224
24.8351    0.0021     -3.93945409
24.8351    0.0021     -3.93945409
24.8888    0.0009     -3.94353115
24.8888    0.0009     -3.94353115
24.9012    0.0032     -3.94241619
24.9012    0.0032     -3.94241619
24.9337    0.0015     -3.94483211
24.9337    0.0015     -3.94483211
25.0651    0.0037     -3.95071128
25.0651    0.0037     -3.95071128
25.1162    0.0042     -3.95314840
25.1162    0.0042     -3.95314840
25.1189    0.0010     -3.95467390
25.1189    0.0010     -3.95467390
25.2074    0.0079     -3.95626028
25.2074    0.0079     -3.95626028
25.2409    0.0070     -3.95836188
25.2409    0.0070     -3.95836188
25.2517    0.0064     -3.95918391
25.2517    0.0064     -3.95918391
25.3144    0.0042     -3.96338254
25.3144    0.0042     -3.96338254
25.3476    0.0016     -3.96620381
25.3476    0.0016     -3.96620381
25.3499    0.0079     -3.96358732
25.3499    0.0079     -3.96358732
25.3649    0.0008     -3.96743400
25.3649    0.0008     -3.96743400
25.3888    0.0005     -3.96880124
25.3888    0.0005     -3.96880124
25.3934    0.0013     -3.96985506
25.3934    0.0013     -3.96985506
25.3937    0.0064     -3.96647887
25.3937    0.0064     -3.96647887
25.4534    0.0074     -3.96913445
25.4534    0.0074     -3.96913445
25.4629    0.0073     -3.96963027
25.4629    0.0073     -3.96963027
25.4856    0.0056     -3.97154978
25.4856    0.0056     -3.97154978
25.5320    0.0010     -3.97680601
25.5320    0.0010     -3.97680601
25.5477    0.0010     -3.97762500
25.5477    0.0010     -3.97762500
25.5510    0.0024     -3.97627788
25.5510    0.0024     -3.97627788
25.6023    0.0002     -3.97989721
25.6023    0.0002     -3.97989721
25.6442    0.0014     -3.98270578
25.6442    0.0014     -3.98270578
25.6465    0.0046     -3.98021354
25.6465    0.0046     -3.98021354
25.7409    0.0001     -3.98697089
25.7409    0.0001     -3.98697089
25.8839    0.0075     -3.99101822
25.8839    0.0075     -3.99101822
25.9366    0.0047     -3.99488484
25.9366    0.0047     -3.99488484
25.9697    0.0032     -3.99722638
25.9697    0.0032     -3.99722638
26.0538    0.0004     -4.00303475
26.0538    0.0004     -4.00303475
26.0582    0.0050     -4.00092881
26.0582    0.0050     -4.00092881
26.1047    0.0065     -4.00260483
26.1047    0.0065     -4.00260483
26.1718    0.0002     -4.00888860
26.1718    0.0002     -4.00888860
26.2601    0.0074     -4.00998027
26.2601    0.0074     -4.00998027
26.2732    0.0011     -4.01437618
26.2732    0.0011     -4.01437618
26.3807    0.0071     -4.01615177
26.3807    0.0071     -4.01615177
26.4535    0.0012     -4.02339825
26.4535    0.0012     -4.02339825
26.5216    0.0073     -4.02307084
26.5216    0.0073     -4.02307084
26.5459    0.0052     -4.02520910
26.5459    0.0052     -4.02520910
26.5723    0.0013     -4.02936428
